time	Sox9	Tgfb1	Tgfbr2	Cebpa	Tgfb2
15.5	1.219584526	0	1.202215776	1.94319763	0
15.5	0	0	1.310480891	1.32756326	0
15.5	0	0	0	1.097604329	0
15.5	0	0	0.945960704	1.281941933	0
15.5	0	0	1.422261451	1.196728723	0
15.5	0	0	1.411788005	1.046495164	0
15.5	0	0	1.113274692	1.698709349	0
15.5	0	0	1.767601068	0.390935107	0
15.5	0	0	1.038620162	1.362859303	0
17.5	2.243831462	0	0.767155866	0	0
17.5	2.506383251	0	0	1.207365037	1.139879086
17.5	0.982723388	0	0.525044807	0	0
17.5	2.737733186	0	1.098297536	0	0
17.5	2.399673721	0	1.192288613	0	0
17.5	0	0	1.374748346	0	0
17.5	0	0	0	1.612571954	0
17.5	2.104179719	0	1.29710365	1.198657087	0
17.5	0.805500858	0	0	1.621799224	0
17.5	2.521138084	0	1.163459552	0	0
17.5	1.207634367	0	1.34321159	0	0
17.5	1.788380515	0	0	0.925827575	1.260071388
17.5	2.125838964	0	1.44357588	0	0
17.5	2.668432512	0	0.133538908	0	0
17.5	2.523668443	0	1.519302849	0	0
17.5	2.925853333	0	1.430397591	0	0
17.5	2.579634997	0	0	0	0.127104798
17.5	2.12567641	0	0.697229343	1.121887985	0
17.5	2.666265193	0	1.2955671	0	0
17.5	2.647069852	0	1.388988785	0	1.256236533
17.5	2.462457896	0	1.68645751	0	0
17.5	2.33243846	0	0	0.611723308	0
17.5	0.889301703	0	1.696793085	1.403463701	0
17.5	1.537944959	0	1.37821615	1.286680969	1.165541077
17.5	2.42737249	0	0.898725182	0.220108088	0.136720567
17.5	2.408511315	0	1.539953842	0.980003372	0
17.5	1.998520883	0	1.032618761	1.353723938	0
17.5	2.47259557	0	0.953759692	1.062957834	0
17.5	2.651471852	0	1.209246849	0.831229694	0
17.5	1.781539969	0	1.557025722	0.726727209	0
17.5	1.002166062	0	1.294466226	1.566083784	0
17.5	2.780526127	0	1.450249108	1.289142836	0
17.5	2.228451691	0	1.49037992	0	0
17.5	0	0	1.068927612	1.519827994	0
17.5	0.910624405	0	0.625312451	1.642563437	0
17.5	0.120573931	0	0.666517981	1.1532049	0
